cv_id,jd_id,cv_group,jd_group,job_title,tfidf_score,sbert_score,bge_score,e5_score,gte_score,section_score,requirement_score,llm_score,pseudo_label_score,method_disagreement,pseudo_label,method_errors
resume_custom_05661,jd_custom_03392,Information Technology,Operations,Soil Operator Job in Oakland,1.3399,28.078,,,,64.039,1.875,,23.833,29.5671,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03813,Information Technology,Technology,Termite Control Technician – Field Service Rep (Entry Level) Job in Fort Myers,1.8223,33.4707,,,,66.7353,2.8571,,26.2213,30.7416,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02017,Information Technology,Construction,General Laborer ( G ) Job in Las Vegas,0.6367,28.9807,,,,64.4904,2.8571,,24.2412,29.7597,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03668,Information Technology,Science,Bilingual Accounts Payable Specialist Job in Atlanta,0.718,30.7371,,,,65.3686,0.0,,24.2059,30.955,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03671,Information Technology,Security,Command Center Officer - Work at Major Brewery in Milwaukee! Job in Wisconsin US body { margin:px; overflow: visible !important; } #ejb_header { color: #; font-family: Verdana,3.7487,35.9607,,,,67.9804,4.0625,,27.9381,30.6753,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02003,Information Technology,Administrative,Office Clerk Job in Green Valley,2.0337,41.6579,,,,70.829,1.25,,28.9427,33.7002,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02296,Information Technology,Engineering,Cryptologic Linguist Job in Johnstown body { margin:px; overflow: visible !important; } #ejb_header { color: #; font-family: Verdana,1.2913,25.0266,,,,62.5133,1.25,,22.5203,28.9184,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03136,Information Technology,Marketing,Sr Utility Coordinator Job in Atlanta,3.4337,39.3831,,,,69.6916,2.3077,,28.704,32.2975,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03462,Information Technology,Other,"Pennsylvania Tool & Gages Inc. Job Application for Machinists/Operators | Monster.com var MONS_LOG_VARS = {""JobID"":",0.8155,26.4374,,,,63.2187,2.0,,23.1179,29.2259,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03029,Information Technology,Manufacturing,Maintenance Technician Job in Atlanta,1.4098,47.5692,,,,73.7846,2.7273,,31.3727,35.4938,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02761,Information Technology,Human Resources,"Anchor Staffing Job Application for General Laborer- Automotive Sorters & Packagers | Monster.com var MONS_LOG_VARS = {""JobID"":",0.5235,16.4081,,,,58.204,0.7143,,18.9625,27.1993,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02395,Information Technology,Finance,Fleet Management Account Manager - Cincinnati Job in Cincinnati,4.3343,36.6589,,,,68.3294,4.6429,,28.4914,30.5837,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02713,Information Technology,Healthcare,Executive Engineer- Power Utility Telecommunications,2.6996,42.4806,,,,71.2403,2.8571,,29.8194,33.3589,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03613,Information Technology,Sales,Prepared Foods Clerk ( Part-time) - Jamestown Giant Eagle Job in Warren,1.6691,25.4849,,,,62.7425,3.4375,,23.3335,28.4189,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02806,Information Technology,Legal,Investment Advisor Regulatory Counsel Job in Englewood,1.6419,31.74,,,,65.87,3.75,,25.7505,30.0594,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02110,Information Technology,Customer Support,Premier Security Specialists/Graveshifts - San Francisco,3.1915,29.4001,,,,64.7001,3.5714,,25.2158,29.0406,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02245,Information Technology,Education,Lead Teacher Job in Madison,2.4079,15.3422,,,,57.6711,2.75,,19.5428,26.1216,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02038,Information Technology,Creative Media,Stand Up Forklift Operator Job in Ontario,0.5394,28.841,,,,64.4205,3.3333,,24.2836,29.6336,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02736,Information Technology,Hospitality,Banquet Server - Food Runner -Busser - Houseman Job in Washington,1.0328,22.5849,,,,61.2924,2.5,,21.8525,28.0715,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02815,Information Technology,Logistics,Security Officer-St. Joseph,3.8569,34.1965,,,,67.0983,4.2857,,27.3593,30.0593,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03414,Information Technology,Operations,Office Manager - Part Time / days per week Job in Miami,5.0446,45.9943,,,,72.9971,3.75,,31.9465,33.6712,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_00238,Information Technology,Technology,Java Developer,5.285,53.4921,,,,72.2177,17.5,,37.1237,31.0822,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02014,Information Technology,Construction,Screed Operator Job in Stephenson,1.5206,20.469,,,,60.2345,2.7143,,21.2346,27.4057,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03667,Information Technology,Science,UX Designer Job in South San Francisco,3.0521,44.6108,,,,72.3054,2.5,,30.6171,34.079,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02002,Information Technology,Administrative,Executive Admin / Admin Job in San Diego,2.3206,43.9639,,,,71.982,2.5,,30.1916,34.0575,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02312,Information Technology,Engineering,Survey Technician / CAD Drafter / Land Job in Dallas,2.9825,38.9141,,,,69.457,4.2857,,28.9098,31.7424,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03127,Information Technology,Marketing,Product Safety Specialist () Job in Houston,3.3508,25.3469,,,,62.6735,3.6956,,23.7667,27.904,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03447,Information Technology,Other,UPS Automotive Mechanic Job in Williamsport,0.5531,18.7456,,,,59.3728,0.8333,,19.8762,27.6723,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02987,Information Technology,Manufacturing,Sous Chefs - Culinary Growth Galore! Job in Bridgewater,3.872,30.3676,,,,65.1838,2.0833,,25.3767,29.5215,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02751,Information Technology,Human Resources,Recruiter Job in Juno Beach,2.6319,44.2743,,,,72.1372,3.75,,30.6983,33.7413,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02419,Information Technology,Finance,Associate Attorney Job in Columbus,2.5344,22.2076,,,,61.1038,4.1667,,22.5031,27.234,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02601,Information Technology,Healthcare,Physical Therapist Job in San Antonio,2.4263,17.7467,,,,58.8733,0.7692,,19.9539,27.0485,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03646,Information Technology,Sales,Marketing Communications Specialist Job in Branchburg,3.5281,53.0462,,,,76.5231,2.7273,,33.9562,36.8668,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02770,Information Technology,Legal,Legal Assistant II at USAO Job in Syracuse,2.9244,26.1738,,,,63.0869,1.0714,,23.3141,28.8706,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02127,Information Technology,Customer Support,UC DAAP-Food Service Worker Job in Cincinnati,0.8871,21.7213,,,,60.8607,1.6667,,21.2839,28.0914,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02254,Information Technology,Education,Career Development Specialist Job in Austin,4.8806,42.2066,,,,71.1033,3.0,,30.2976,32.6502,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02034,Information Technology,Creative Media,Light Industrial - Record Center Specialist Job in Dallas,0.6361,30.2563,,,,65.1282,1.0,,24.2551,30.5793,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02737,Information Technology,Hospitality,Experienced Server Job in New Port Richey,0.9148,27.986,,,,63.993,2.0,,23.7235,29.6195,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02837,Information Technology,Logistics,Security Officer-Southwest City Job in Arkansas US body { margin:px; overflow: visible !important; } #ejb_header { color: #; font-family: Verdana,3.9696,37.5089,,,,68.7544,5.0,,28.8082,30.8501,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_03438,Information Technology,Operations,Engineer - Quality Job in Dixon,3.7924,30.0684,,,,65.0342,2.9592,,25.4636,29.2297,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_00808,Information Technology,Technology,Wordpress Developer,4.2802,50.0486,,,,75.0717,4.375,,33.4439,35.1384,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05661,jd_custom_02008,Information Technology,Construction,Sr. Estimator - commercial construction - Orlando,2.4922,35.7856,,,,67.8928,3.5294,,27.425,31.0923,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
